chrom	start	stop	hd_region	strains	n_strains
I	12196000	12201000	I_12196000_12201000	XZ1516	1
I	12214000	12456000	I_12214000_12456000	XZ1516	1
I	12242000	12247000	I_12242000_12247000	ECA36,DL238,NIC166,JU258,NIC236,NIC3,MY1,JU1530,NIC1798,NIC1791,NIC1799,NIC1794,NIC1786,EG4349,JU3224,WN2001,CX11276,NIC1810,ED3046,NIC1811,NIC1783,JU3228,KR314,QG4228,ECA594,NIC252,JU3144,NIC1812,JU2522,ED3073,JU2838,JU310,NIC1809,JU3135,JU2576,JU3128,NIC267,QG4138,NIC526,TWN2530,MY2585,NIC528,MY772,JU2513,NIC277,JU2578,WN2082,JU3132,MY2453,MY2535,NIC529,JU2906,WN2086,JT11398,WN2064	55
I	12242000	12279000	I_12242000_12279000	JU1212	1
I	12272000	12278000	I_12272000_12278000	CB4856,JU2879	2
I	12344000	12351000	I_12344000_12351000	JU2800,ECA2602,ECA2549	3
I	12368000	12373000	I_12368000_12373000	ECA36,DL238,NIC166,ECA396,JU258,NIC236,NIC3,ED3049,MY1,JU1530,NIC1798,NIC1791,NIC1799,NIC1794,NIC1786,EG4349,WN2001,CX11276,NIC1810,ED3046,NIC1811,NIC1783,JU3228,KR314,QG4228,NIC252,JU3144,NIC1812,JU2522,ED3073,JU310,NIC1809,JU3135,JU2576,JU346,JU3128,NIC267,QG4138,NIC526,TWN2530,MY2585,NIC528,MY772,JU2513,NIC277,JU2578,WN2082,JU3132,MY2453,MY2535,NIC529,JU3134,JU2906,WN2086,JT11398,WN2064	56
I	12368000	12385000	I_12368000_12385000	JU2800,ECA2602,ECA2549	3
I	12380000	12385000	I_12380000_12385000	ECA36	1
I	12380000	12401000	I_12380000_12401000	JU2879	1
I	12385000	12392000	I_12385000_12392000	JU4047	1
I	12386000	12392000	I_12386000_12392000	NIC1798,NIC252	2
I	12404000	12410000	I_12404000_12410000	JU2800,ECA2602,ECA2549	3
I	12427000	12443000	I_12427000_12443000	NIC1798,JU4047	2
I	12432000	12443000	I_12432000_12443000	NIC252	1
I	12432000	12445000	I_12432000_12445000	ECA594	1
I	12437000	12443000	I_12437000_12443000	ECA396,ED3049,ED3046	3
I	12437000	12462000	I_12437000_12462000	ECA36	1
I	12442000	12450000	I_12442000_12450000	DL238	1
I	12442000	12460000	I_12442000_12460000	JU2800,ECA2602,ECA2549	3
I	12442000	12475000	I_12442000_12475000	DL226	1
I	12507000	12514000	I_12507000_12514000	ECA36	1
I	12606000	12682000	I_12606000_12682000	XZ1516	1
I	12620000	12626000	I_12620000_12626000	ECA36,JU775,NIC262	3
I	12622000	12642000	I_12622000_12642000	JU3144	1
I	12622000	12645000	I_12622000_12645000	NIC3,JU1212,CB4856,JU1530,NIC1791,NIC1799,NIC1794,NIC1786,EG4349,WN2001,NIC1810,NIC1811,NIC1783,JU3228,KR314,QG4228,ECA594,NIC1812,JU2838,NIC1809,NIC267,QG4138,NIC526,TWN2530,MY2585,NIC528,MY772,JU2513,NIC277,JU2578,JU3132,MY2453,MY2535,NIC529,JU2906,WN2064	36
I	12622000	12648000	I_12622000_12648000	MY1	1
I	12622000	12649000	I_12622000_12649000	DL238,NIC166,JU258,ED3073,JU310	5
I	12629000	12645000	I_12629000_12645000	WN2082	1
I	12629000	12646000	I_12629000_12646000	NIC236	1
I	12629000	12648000	I_12629000_12648000	JU2522	1
I	12632000	12645000	I_12632000_12645000	JU3134	1
I	12633000	12648000	I_12633000_12648000	JT11398	1
I	12641000	12649000	I_12641000_12649000	JU775,ED3049	2
I	12663000	12668000	I_12663000_12668000	NIC252	1
I	12664000	12669000	I_12664000_12669000	JU775,NIC262	2
I	12664000	12670000	I_12664000_12670000	ECA36	1
I	12682000	12704000	I_12682000_12704000	ECA36,NIC262	2
I	12682000	12705000	I_12682000_12705000	JU775	1
I	12706000	12713000	I_12706000_12713000	XZ1516	1
I	12729000	12736000	I_12729000_12736000	JU3128	1
I	12750000	12763000	I_12750000_12763000	CB4856,JU2800,ECA2602	3
I	12750000	12771000	I_12750000_12771000	NIC236,NIC1810,JU2838,WN2082	4
I	12751000	12763000	I_12751000_12763000	DL226,ECA2549	2
I	12751000	12770000	I_12751000_12770000	JT11398	1
I	12751000	12771000	I_12751000_12771000	JU2522	1
I	12752000	12763000	I_12752000_12763000	NIC166,JU258,NIC3,MY1,JU1212,JU1530,EG4349,WN2001,NIC1811,KR314,QG4228,JU3144,NIC1812,JU310,NIC1809,NIC526,TWN2530,NIC528,NIC277,MY2453,NIC529,JU2906	22
I	12752000	12770000	I_12752000_12770000	ED3049,ED3046	2
I	12754000	12762000	I_12754000_12762000	DL238	1
I	12754000	12763000	I_12754000_12763000	NIC1791,NIC1799,NIC1794,NIC1786,NIC1783,JU3228,ED3073,JU3128,NIC267,QG4138,MY772,JU2578,JU3132,MY2535,JU3134	15
I	12755000	12763000	I_12755000_12763000	ECA594	1
I	12758000	12763000	I_12758000_12763000	ECA36,XZ1516,JU346,WN2064	4
I	12767000	12773000	I_12767000_12773000	ECA396	1
I	12797000	12806000	I_12797000_12806000	JU1212	1
I	12801000	12806000	I_12801000_12806000	DL238,ECA396	2
I	12803000	12809000	I_12803000_12809000	XZ1516	1
I	12804000	12812000	I_12804000_12812000	MY2535	1
I	12845000	12857000	I_12845000_12857000	NIC3	1
I	12846000	12851000	I_12846000_12851000	JU1212,DL226	2
I	12846000	12855000	I_12846000_12855000	JU4047	1
I	12847000	12853000	I_12847000_12853000	JU2838	1
I	12847000	12855000	I_12847000_12855000	ED3046	1
I	12847000	12857000	I_12847000_12857000	ED3049	1
I	12849000	12854000	I_12849000_12854000	QG4138,JU2578	2
I	12849000	12855000	I_12849000_12855000	WN2001,JU3228,QG4228,JU310,NIC267,JU2800,JU3132,MY2535	8
I	12849000	12856000	I_12849000_12856000	ECA396,ECA2546,ECA2602,JU2906	4
I	12849000	12857000	I_12849000_12857000	NIC166,JU258,JU1530,JU3144,ED3073	5
I	12966000	12991000	I_12966000_12991000	ECA36,JU3228	2
I	12979000	12993000	I_12979000_12993000	XZ1516	1
I	13019000	13053000	I_13019000_13053000	NIC1798,NIC252	2
I	13032000	13061000	I_13032000_13061000	XZ1516	1
I	13037000	13085000	I_13037000_13085000	ECA36	1
I	13053000	13072000	I_13053000_13072000	JU346	1
I	13053000	13085000	I_13053000_13085000	ECA396,ECA2660,ECA2659,ECA2549	4
I	13053000	13090000	I_13053000_13090000	JU2800	1
I	13053000	13091000	I_13053000_13091000	ECA2607	1
I	13053000	13095000	I_13053000_13095000	AB1	1
I	13053000	13161000	I_13053000_13161000	CB4854,ECA2602,JT11398	3
I	13100000	13161000	I_13100000_13161000	JU2800,ECA2549,ECA2607	3
I	13101000	13161000	I_13101000_13161000	ECA36,ECA2660,ECA2659,AB1	4
I	13103000	13161000	I_13103000_13161000	ECA396	1
I	13104000	13118000	I_13104000_13118000	JU346	1
I	13140000	13147000	I_13140000_13147000	JU346	1
I	13144000	13174000	I_13144000_13174000	XZ1516	1
I	13155000	13161000	I_13155000_13161000	JU346	1
I	13160000	13186000	I_13160000_13186000	NIC1798,NIC252	2
I	13182000	13188000	I_13182000_13188000	ECA396	1
I	13182000	13199000	I_13182000_13199000	ECA36	1
I	13187000	13217000	I_13187000_13217000	XZ1516	1
I	13214000	13219000	I_13214000_13219000	ECA36	1
I	13249000	13255000	I_13249000_13255000	NIC1810	1
I	13249000	13263000	I_13249000_13263000	ECA36	1
I	13255000	13265000	I_13255000_13265000	JU4047,DL226	2
I	13263000	13272000	I_13263000_13272000	XZ1516	1
I	13340000	13349000	I_13340000_13349000	NIC1798,NIC252,MY2585	3
I	13340000	13356000	I_13340000_13356000	XZ1516	1
I	13371000	13386000	I_13371000_13386000	CB4854,ECA2546,ECA2583,JT11398	4
I	13376000	13381000	I_13376000_13381000	KR314	1
I	13377000	13386000	I_13377000_13386000	XZ1516,DL238,ECA396,JU775,NIC256,ECA2660,CB4856,NIC258,NIC1798,NIC262,ECA2659,NIC1810,ECA594,NIC252,JU346,MY2585,JU2800,WN2082,ECA2602,AB1,ECA2549,ECA2603,ECA2607	23
I	13808000	13820000	I_13808000_13820000	ECA36	1
I	14023000	14037000	I_14023000_14037000	ECA396	1
I	14027000	14035000	I_14027000_14035000	XZ1516	1
I	14027000	14038000	I_14027000_14038000	ECA36	1
I	14071000	14076000	I_14071000_14076000	ECA36,ECA396	2
I	14292000	14307000	I_14292000_14307000	NIC236	1
I	14293000	14307000	I_14293000_14307000	JU258	1
I	14295000	14307000	I_14295000_14307000	JU2879	1
I	14306000	14311000	I_14306000_14311000	DL238,JU775,NIC256,ECA2660,CB4856,NIC258,NIC1798,NIC262,ECA2659,CB4854,NIC252,JU778,JU2576,JU346,MY2741,MY2585,JU2800,PX179,WN2082,ECA2602,MY2693,AB1,ECA2549,ECA2603,ECA2607,JT11398	26
I	14331000	14338000	I_14331000_14338000	XZ1516	1
I	14368000	14380000	I_14368000_14380000	ECA396	1
I	14416000	14422000	I_14416000_14422000	XZ1516	1
I	14420000	14430000	I_14420000_14430000	ECA36	1
I	14509000	14515000	I_14509000_14515000	NIC166	1
I	14510000	14515000	I_14510000_14515000	JU1530	1
I	14515000	14527000	I_14515000_14527000	XZ1516	1
I	14529000	14538000	I_14529000_14538000	ECA396	1
I	14529000	14554000	I_14529000_14554000	ECA36	1
I	14668000	14678000	I_14668000_14678000	XZ1516	1
I	14669000	14683000	I_14669000_14683000	ECA396	1
I	14773000	14778000	I_14773000_14778000	DL238	1
II	262000	331000	II_262000_331000	NIC256,NIC258,NIC262	3
II	262000	332000	II_262000_332000	NIC1798	1
II	272000	331000	II_272000_331000	XZ1516	1
II	290000	313000	II_290000_313000	NIC275	1
II	290000	331000	II_290000_331000	BRC20263,NIC267,JU2578,MY679,ED3052	5
II	290000	332000	II_290000_332000	NIC1783,QG2827,NIC252,ECA2559,ECA1074,ECA1069,QG2841,ECA2656,ECA2602,ECA2615,QG2811	11
II	291000	331000	II_291000_331000	NIC166	1
II	319000	332000	II_319000_332000	NIC275	1
II	388000	393000	II_388000_393000	ECA36,XZ1516,NIC166,ECA2595,ECA2601,NIC256,ECA2561,ECA2660,NIC1798,ECA2659,NIC1783,QG2827,NIC252,JU2576,NIC275,BRC20263,ECA2559,NIC267,ECA1074,ECA1069,QG2841,JU2578,ECA2656,MY679,ED3052,ECA2602,ECA2615,QG2811	28
II	402000	407000	II_402000_407000	JU3224	1
II	402000	410000	II_402000_410000	NIC166,NIC3,PB306,CB4857,CB4856,CX11264,CB4855,NIC1791,NIC1794,NIC1786,CX11276,NIC1810,NIC1783,JU774,QG4228,JU2811,QG2827,JU4047,JU2838,CX11314,ECA2546,BRC20263,ECA2559,NIC267,ECA2583,ECA1074,JU2587,ECA1069,JU2866,QG2841,JU1172,CX11271,QG2828,JU2578,ECA2656,MY679,ED3052,ECA2602,ECA2615,QG2811	40
II	403000	410000	II_403000_410000	ECA396,ECA923,NIC275	3
II	404000	410000	II_404000_410000	NIC252	1
II	409000	428000	II_409000_428000	XZ1516	1
II	430000	544000	II_430000_544000	NIC256	1
II	430000	545000	II_430000_545000	NIC258,NIC1798	2
II	436000	447000	II_436000_447000	XZ1516	1
II	436000	544000	II_436000_544000	NIC262	1
II	471000	536000	II_471000_536000	XZ1516	1
II	544000	576000	II_544000_576000	XZ1516	1
II	576000	629000	II_576000_629000	NIC256,NIC258,NIC1798,NIC262	4
II	626000	635000	II_626000_635000	ECA2601,ECA2561	2
II	626000	636000	II_626000_636000	JU258,JU4047,JU2576,JU2592	4
II	637000	674000	II_637000_674000	NIC256,NIC258,NIC1798,NIC262	4
II	650000	661000	II_650000_661000	ECA396,JU258,ECA2601,ECA2561,JU4047,JU2576,JU2592	7
II	651000	661000	II_651000_661000	DL238,NIC166,NIC3,CB4856,NIC1791,NIC1794,NIC1786,JU3224,JU774,KR314,NIC1808,QG4228,JU2811,QG2827,NIC252,ECA640,NIC1812,JU2838,DL226,NIC275,ECA2546,BRC20263,ECA2559,NIC267,MY2741,TWN2530,ECA1074,MY795,MY518,ECA1069,QG2841,QG2828,JU2578,ECA2656,MY679,ED3052,ECA2602,ECA2615,QG2811	39
II	651000	667000	II_651000_667000	NIC1783	1
II	659000	668000	II_659000_668000	ECA36,ECA2595,ECA2660,ECA2659	4
II	667000	680000	II_667000_680000	ECA396	1
II	672000	688000	II_672000_688000	PB306,CB4857,CX11264,CB4855,CX11314,JU2866,JU1172,CX11271	8
II	672000	689000	II_672000_689000	JU2879	1
II	673000	688000	II_673000_688000	ECA923,CX11276,NIC1810,ECA2583,JU2587	5
II	673000	689000	II_673000_689000	MY16	1
II	673000	690000	II_673000_690000	ECA594	1
II	838000	844000	II_838000_844000	NIC3,PB306,CB4857,CB4856,CX11264,CB4855,ECA923,JU3224,CX11276,NIC1810,JU774,QG4228,JU2811,CX11314,ECA2546,ECA2583,JU2587,JU2866,JU1172	19
II	839000	844000	II_839000_844000	ECA396,ECA2595,NIC256,ECA2660,NIC1791,NIC1794,NIC1786,NIC1783,QG2827,NIC275,BRC20263,ECA2559,NIC272,ECA1074,ECA1069,QG2841,QG2828,JU2578,ECA2656,MY679,ECA2615,QG2811	22
II	868000	890000	II_868000_890000	ECA396	1
II	869000	874000	II_869000_874000	XZ1516	1
II	876000	934000	II_876000_934000	KR314,NIC1808,ECA640,NIC1812,DL226,MY2741,TWN2530,MY795,MY518	9
II	884000	911000	II_884000_911000	DL238	1
II	884000	922000	II_884000_922000	PB306,CB4857,CX11264,CB4855,ECA923,CX11276,NIC1810,CX11314,ECA2583,JU2587,JU2866,JU1172	12
II	902000	939000	II_902000_939000	XZ1516	1
II	905000	914000	II_905000_914000	ECA2659	1
II	905000	924000	II_905000_924000	ECA36,ECA2595,ECA2660	3
II	911000	932000	II_911000_932000	NIC258,NIC1798	2
II	958000	964000	II_958000_964000	ECA396	1
II	958000	975000	II_958000_975000	JU258,ECA2601,ECA2561,JU2576,JU2592	5
II	958000	977000	II_958000_977000	ECA36,ECA2595,ECA2660	3
II	970000	975000	II_970000_975000	ECA396	1
II	991000	1016000	II_991000_1016000	XZ1516	1
II	1001000	1010000	II_1001000_1010000	ECA396	1
II	1001000	1016000	II_1001000_1016000	ECA36	1
II	1001000	1017000	II_1001000_1017000	ECA2660	1
II	1001000	1020000	II_1001000_1020000	DL238,JU258,ECA2601,ECA2561,KR314,NIC1812,JU2576,DL226,MY2741,TWN2530,MY795,MY518,JU2592	13
II	1001000	1021000	II_1001000_1021000	ECA2595	1
II	1001000	1034000	II_1001000_1034000	NIC1798	1
II	1001000	1074000	II_1001000_1074000	NIC258	1
II	1023000	1031000	II_1023000_1031000	XZ1516	1
II	1040000	1051000	II_1040000_1051000	XZ1516,NIC3,QG4228,JU2811,ECA2546	5
II	1040000	1052000	II_1040000_1052000	ECA2660	1
II	1040000	1053000	II_1040000_1053000	ECA36,ECA2595	2
II	1040000	1057000	II_1040000_1057000	JU3224,JU774	2
II	1040000	1073000	II_1040000_1073000	NIC1798	1
II	1040000	1074000	II_1040000_1074000	CB4856	1
II	1045000	1051000	II_1045000_1051000	ECA594	1
II	1045000	1052000	II_1045000_1052000	MY16,JU2879	2
II	1047000	1053000	II_1047000_1053000	PB306,CX11276,NIC1810	3
II	1047000	1073000	II_1047000_1073000	ECA2583	1
II	1059000	1072000	II_1059000_1072000	XZ1516,MY16,JU2879	3
II	1059000	1073000	II_1059000_1073000	ECA1074	1
II	1060000	1072000	II_1060000_1072000	ECA594	1
II	1107000	1112000	II_1107000_1112000	XZ1516	1
II	1107000	1113000	II_1107000_1113000	NIC166,NIC3,ECA2595,MY16,NIC262,JU774,QG4228,JU2811	8
II	1107000	1114000	II_1107000_1114000	NIC256,NIC1794,NIC1786,QG2827,BRC20263,ECA2559,NIC272,ECA1069,QG2841,ECA2656,MY679,ED3052,ECA2602,ECA2615,QG2811	15
II	1107000	1117000	II_1107000_1117000	NIC258	1
II	1108000	1113000	II_1108000_1113000	ECA36,ECA396,ECA2660,JU3224,ECA594,JU2879,NIC275,ECA2546	8
II	1108000	1114000	II_1108000_1114000	NIC1791,NIC1783,NIC252,ECA1074,QG2828,JU2578	6
II	1108000	1117000	II_1108000_1117000	NIC1798	1
II	1256000	1310000	II_1256000_1310000	PB306,CB4857,CX11264,CB4855,ECA923,CX11276,NIC1810,KR314,NIC1808,ECA640,NIC1812,JU4047,CX11314,DL226,MY2741,TWN2530,ECA2583,JU2587,MY795,MY518,JU2866,JU1172	22
II	1527000	1582000	II_1527000_1582000	MY16,JU2879	2
II	1528000	1581000	II_1528000_1581000	ECA594	1
II	1531000	1579000	II_1531000_1579000	ECA2660	1
II	1531000	1583000	II_1531000_1583000	CB4856	1
II	1531000	1587000	II_1531000_1587000	ECA396	1
II	1531000	1605000	II_1531000_1605000	XZ1516,PB306,CB4857,NIC258,CX11264,NIC1798,CB4855,ECA2659,CX11276,NIC1810,KR314,NIC1808,ECA640,NIC1812,JU4047,CX11314,DL226,MY2741,TWN2530,ECA2583,JU2587,MY795,MY518,JU2866,JU1172	25
II	1531000	1608000	II_1531000_1608000	ECA36,ECA2595,ECA2561	3
II	1531000	1636000	II_1531000_1636000	JU258,ED3049,ECA2601,NIC1791,NIC1794,NIC1786,RC301,JU2464,ED3046,JU2576,ECA1074,PB303,JU2592,NIC255	14
II	1532000	1605000	II_1532000_1605000	ECA923	1
II	1585000	1608000	II_1585000_1608000	ECA2660	1
II	1588000	1659000	II_1588000_1659000	MY16	1
II	1588000	1660000	II_1588000_1660000	JU2879	1
II	1589000	1636000	II_1589000_1636000	ECA594	1
II	1593000	1635000	II_1593000_1635000	ECA396	1
II	1611000	1624000	II_1611000_1624000	NIC275	1
